CustomerID,Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnansweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus
3098302,No,110.15,408.0,74.0,0.25,12.0,1.3,123.0,-51.1,4.7,2.7,9.7,0.0,0.0,68.0,18.3,3.0,41.7,36.3,7.3,0.0,0.3,26,1,1,OHICOL614,3.0,3.0,206.0,32.0,0.0,No,Yes,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,5,No,0,130,No,2-High,Other,Professional,Yes
3317554,No,66.36,234.0,70.0,0.0,21.0,0.0,170.0,17.6,3.0,0.3,6.7,0.0,0.3,90.2,16.3,15.7,55.3,11.3,3.3,0.0,0.0,9,2,2,LAXSBN909,2.0,1.0,269.0,34.0,0.0,Yes,No,Yes,No,No,Known,No,Yes,No,No,No,Yes,0,0,No,No,0,3,No,0,150,No,2-High,Suburban,Crafts,No
3154682,Yes,312.83,2375.0,71.0,2.23,582.0,0.0,-1372.0,-236.8,21.3,4.0,46.0,4.7,2.7,1208.0,78.0,0.0,399.0,265.3,25.3,0.0,23.7,23,1,1,SLCPRO801,2.0,2.0,216.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,1,1,No,No,0,0,No,0,150,Yes,2-High,Town,Other,Unknown
3308982,No,44.3,89.0,55.0,0.0,0.0,0.0,12.0,4.7,1.0,0.0,5.7,0.0,0.0,2.2,2.7,0.3,9.7,8.3,1.0,0.0,0.0,7,1,1,NVUGAR775,1.0,1.0,220.0,52.0,48.0,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,6,No,0,Unknown,No,2-High,Rural,Other,Unknown
3208422,No,30.5,40.0,30.0,0.0,0.0,0.0,-2.0,-0.3,0.7,0.0,1.0,0.0,0.0,9.2,0.0,0.7,16.7,7.7,0.7,0.0,0.0,12,1,1,NEVENC760,1.0,1.0,374.0,56.0,52.0,Yes,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,7,No,0,Unknown,No,2-High,Suburban,Other,Yes
3341818,No,94.17,2113.0,85.0,1.24,39.0,4.1,-305.0,-3.1,2.3,21.0,134.3,6.0,2.0,594.2,42.7,2.7,360.7,225.3,23.3,0.0,11.7,12,1,1,OMACDR319,5.0,4.0,0.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,150,No,5-Low,Other,Other,Unknown
3303834,Yes,170.91,1844.0,55.0,1.24,356.0,0.0,408.0,136.9,7.0,6.0,27.3,4.3,0.0,1023.3,120.3,78.0,81.0,246.0,13.0,0.0,4.0,14,2,2,CHILAG630,1.0,1.0,395.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,2-High,Suburban,Other,Unknown
3392058,No,24.52,26.0,23.0,0.25,4.0,0.0,-26.0,5.5,0.0,0.0,9.7,0.0,0.0,0.0,0.7,0.0,4.0,6.0,0.0,0.0,0.0,49,2,1,LAXANA714,4.0,4.0,556.0,58.0,58.0,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,9,No,0,60,No,5-Low,Other,Professional,Yes
3203818,No,33.26,46.0,30.0,0.0,0.0,0.0,46.0,-0.3,0.3,1.7,1.3,2.3,0.0,3.5,1.7,0.0,9.0,3.7,2.0,0.0,0.0,13,5,5,OHIAKR330,1.0,1.0,383.0,64.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,4,No,0,Unknown,No,2-High,Other,Other,No
3186674,No,164.29,1066.0,60.0,1.73,346.0,9.1,261.0,78.8,8.0,1.0,40.3,1.7,0.0,246.4,57.0,5.0,237.3,108.3,9.0,0.0,6.0,16,1,1,SFRSCL408,2.0,2.0,6.0,24.0,0.0,No,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,8,No,0,150,No,2-High,Other,Other,No
3250158,No,29.99,450.0,40.0,0.0,0.0,0.0,-56.0,0.0,2.7,11.0,14.3,7.7,0.0,53.9,12.3,5.7,83.0,38.7,13.7,0.0,1.0,14,1,1,SANKIL254,1.0,1.0,413.0,40.0,38.0,Yes,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,7,No,0,Unknown,No,2-High,Town,Other,Yes
3025126,No,68.46,1732.0,85.0,0.0,30.0,0.3,142.0,6.5,6.3,2.0,26.0,2.7,0.3,507.9,88.3,15.3,210.7,146.7,8.3,0.0,1.3,33,1,1,NYCBRO917,3.0,3.0,123.0,36.0,0.0,No,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,1,No,0,150,No,1-Highest,Other,Other,No
3070330,No,100.89,344.0,100.0,0.0,0.0,0.0,132.0,-0.9,6.7,2.7,5.3,0.0,0.0,68.8,8.0,1.0,54.0,11.7,9.3,0.0,0.0,23,1,1,ATLNOR678,1.0,1.0,706.0,42.0,0.0,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,8,No,0,Unknown,No,1-Highest,Town,Other,No
3203642,No,53.49,245.0,50.0,0.25,0.0,0.3,-21.0,-0.5,6.7,0.3,26.7,2.0,0.7,29.8,0.3,0.0,76.7,40.0,7.0,0.0,0.3,15,1,1,APCWAS202,2.0,2.0,92.0,34.0,0.0,Yes,No,Yes,No,No,Unknown,No,No,No,No,No,Yes,0,0,No,No,0,3,No,0,30,No,5-Low,Other,Other,No
3232394,No,30.26,19.0,30.0,0.0,0.0,0.0,-14.0,-0.3,0.0,0.3,1.3,0.0,0.0,0.0,1.7,0.0,2.0,3.7,0.3,0.0,0.0,11,2,1,CHIDAV319,1.0,1.0,329.0,34.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,7,No,0,Unknown,No,2-High,Suburban,Other,Unknown
3240990,No,41.83,168.0,40.0,0.0,0.0,0.0,76.0,5.5,0.3,1.0,0.3,0.0,0.0,0.0,0.0,0.0,2.7,6.7,1.3,0.0,0.0,13,3,3,LAXLAX323,1.0,1.0,381.0,30.0,0.0,No,Yes,No,No,No,Unknown,Yes,Yes,No,No,No,Yes,0,0,No,No,0,7,No,0,Unknown,No,1-Highest,Other,Other,No
3166542,Yes,48.95,284.0,30.0,0.25,52.0,0.0,-42.0,-19.0,11.0,0.3,27.0,0.0,0.3,50.5,11.7,1.3,114.0,16.0,11.3,0.0,0.7,15,3,2,HARNOR203,1.0,1.0,470.0,48.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,Yes,Yes,0,0,No,No,0,9,No,0,Unknown,No,2-High,Suburban,Other,No
3058142,Yes,35.49,100.0,30.0,0.0,14.0,0.2,8.0,-5.5,1.3,0.3,2.3,0.0,0.0,5.7,1.7,1.0,19.0,11.3,1.7,0.0,0.0,25,1,1,OMAOMA402,1.0,1.0,757.0,50.0,46.0,Yes,No,Yes,No,No,Known,Yes,Yes,Yes,No,No,Yes,0,0,Yes,No,0,5,No,0,Unknown,No,1-Highest,Other,Other,No
3312658,No,100.61,740.0,74.0,0.99,161.0,3.6,342.0,3.2,3.3,4.3,32.0,0.3,0.0,380.0,7.0,2.3,207.0,76.3,7.7,0.0,9.3,9,1,1,INDIND317,1.0,1.0,278.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,5-Low,Suburban,Other,Unknown
3173566,Yes,12.5,28.0,10.0,0.0,2.0,0.0,-28.0,-2.5,0.3,0.0,3.7,2.3,0.0,2.8,0.0,0.0,2.3,5.0,0.3,0.0,0.0,19,1,1,INDIND317,1.0,1.0,562.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,3-Good,Town,Other,Unknown
3217966,No,33.25,286.0,40.0,0.0,0.0,0.0,21.0,0.0,4.0,1.7,36.7,2.3,0.0,55.4,14.7,4.3,60.0,49.7,5.7,0.0,0.3,14,1,1,MIAFTM941,1.0,1.0,415.0,34.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,Yes,0,0,No,No,0,0,No,0,Unknown,No,4-Medium,Suburban,Other,No
3227154,Yes,52.58,1134.0,60.0,0.5,12.0,1.0,183.0,0.2,7.7,9.3,49.7,3.7,0.0,226.4,79.0,18.0,205.0,225.0,17.0,0.0,7.0,13,1,1,SANAUS512,3.0,2.0,233.0,62.0,60.0,No,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,9,No,0,30,No,3-Good,Town,Professional,Yes
3224926,Yes,51.43,514.0,40.0,0.25,54.0,0.0,-66.0,-21.3,10.3,0.7,49.7,1.0,0.3,12.9,1.7,0.0,42.3,48.0,11.0,0.0,2.7,11,1,1,PHIPHI215,2.0,2.0,152.0,28.0,80.0,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,4,No,0,30,No,3-Good,Other,Other,No
3392502,No,154.65,561.0,35.0,0.5,83.0,0.0,-76.0,-47.0,2.7,0.7,22.3,0.3,0.0,4.3,2.7,0.0,80.7,29.0,3.3,0.0,0.0,41,1,1,LAXANA714,1.0,1.0,1234.0,42.0,0.0,Yes,No,No,No,No,Known,Yes,Yes,No,Yes,Yes,Yes,0,0,No,No,0,8,No,0,Unknown,No,1-Highest,Suburban,Professional,Yes
3012422,Yes,33.05,149.0,32.0,0.25,1.0,0.0,-10.0,-0.6,3.0,1.0,23.0,0.7,1.0,19.6,26.0,3.7,63.0,18.0,4.0,0.0,0.0,40,4,2,NYCQUE917,2.0,2.0,604.0,54.0,52.0,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,9,No,0,30,No,1-Highest,Other,Other,Yes
3319866,No,42.13,1180.0,52.0,0.74,4.0,0.0,-214.0,-2.1,20.7,4.3,134.3,4.0,2.3,142.6,36.3,4.0,109.0,276.3,25.0,0.0,0.0,11,1,1,NYCMAN917,4.0,3.0,60.0,34.0,0.0,No,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,5,No,0,80,No,5-Low,Other,Other,No
3315090,No,54.1,435.0,52.0,0.0,54.0,1.1,224.0,57.3,1.3,1.3,28.3,1.3,0.0,65.4,20.3,2.0,64.0,20.7,3.0,0.0,1.3,9,1,1,NNYALB518,4.0,4.0,94.0,50.0,50.0,No,No,Yes,Yes,No,Known,Yes,Yes,No,Yes,No,Yes,0,0,No,Yes,0,7,No,0,60,No,2-High,Suburban,Professional,Yes
3312598,No,29.99,10.0,40.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.7,0.0,3.7,1.3,0.7,0.0,0.0,11,1,1,NMXELP915,1.0,1.0,324.0,32.0,34.0,No,Yes,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,6,No,0,Unknown,No,2-High,Suburban,Professional,No
3107882,Yes,51.49,223.0,60.0,0.25,0.0,0.0,29.0,-1.5,7.7,1.3,15.3,4.0,0.0,20.9,47.3,10.3,129.3,32.3,9.0,0.0,0.7,24,6,3,SEABLV425,1.0,1.0,700.0,42.0,42.0,Yes,No,No,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,7,No,0,Unknown,No,3-Good,Suburban,Professional,Yes
3113830,Yes,28.5,75.0,30.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,1.3,0.0,0.0,1.1,0.7,0.0,12.7,9.7,0.0,0.0,0.0,23,1,1,FLNWNP407,1.0,1.0,688.0,38.0,38.0,Yes,No,No,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,7,No,0,Unknown,No,2-High,Town,Other,Yes
3026654,Yes,51.28,804.0,60.0,0.74,22.0,0.0,-182.0,-0.3,7.0,5.7,17.3,0.7,0.3,177.6,91.0,9.3,124.3,108.7,12.7,0.0,4.7,33,1,1,HOUHOU281,3.0,3.0,391.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,Yes,0,0,No,0,10,No,3-Good,Suburban,Other,Unknown
3025094,Yes,46.68,215.0,30.0,1.73,29.0,0.0,-87.0,-13.4,7.0,2.3,19.3,1.0,0.0,49.8,5.7,2.7,60.0,71.7,9.3,0.0,0.7,37,1,1,SFRSMO650,1.0,1.0,1120.0,50.0,48.0,Yes,No,No,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,9,No,0,Unknown,No,5-Low,Other,Self,Yes
3160866,No,32.27,76.0,30.0,0.0,0.0,2.3,51.0,-2.3,3.7,0.0,2.7,0.0,0.0,12.5,3.3,0.3,20.3,12.0,3.7,0.0,0.0,20,1,1,APCFCH703,2.0,2.0,138.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,150,No,2-High,Suburban,Other,Unknown
3262430,Yes,84.98,876.0,33.0,6.68,198.0,0.0,-120.0,-84.7,6.7,0.7,34.3,3.3,0.0,115.8,41.7,0.7,102.3,68.3,7.3,0.0,0.0,10,1,1,SFROAK510,1.0,1.0,289.0,0.0,0.0,No,Yes,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,6-VeryLow,Other,Other,Unknown
3381334,No,151.35,1814.0,95.0,3.46,182.0,0.0,-1314.0,-75.4,14.7,28.0,275.0,18.7,0.7,522.2,61.3,15.3,684.3,510.0,42.7,0.0,30.3,7,1,1,MIANDA305,1.0,1.0,187.0,26.0,56.0,No,No,Yes,No,No,Known,No,No,No,No,No,No,0,0,No,No,0,4,No,0,Unknown,No,5-Low,Other,Other,Unknown
3342370,No,38.99,152.0,45.0,0.0,0.0,0.0,58.0,0.0,3.0,3.3,8.0,0.7,0.0,56.8,13.0,9.0,41.3,31.3,6.3,0.0,1.0,10,1,1,NSHNSH615,1.0,1.0,299.0,50.0,46.0,Yes,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,9,No,0,Unknown,No,2-High,Town,Professional,Yes
3180182,Yes,80.87,112.0,80.0,0.25,0.0,0.0,66.0,-0.9,0.3,0.0,2.0,0.0,0.0,0.0,0.7,0.0,4.0,0.0,0.7,0.0,0.0,14,2,2,SEABLV425,2.0,2.0,24.0,34.0,34.0,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,9,No,0,30,No,2-High,Suburban,Professional,Yes
3051354,No,46.03,750.0,70.0,0.0,0.0,0.0,152.0,-1.0,0.0,3.3,53.0,0.3,0.0,16.8,12.3,0.0,92.0,118.0,3.3,0.0,0.0,26,1,1,DENDEN303,1.0,1.0,796.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,1-Highest,Town,Other,Unknown
3101502,No,32.74,40.0,32.0,0.25,0.0,0.0,12.0,-0.2,1.7,1.7,2.0,0.0,0.0,1.4,1.3,0.3,16.0,5.0,3.3,0.0,0.7,24,3,2,ATLANE678,1.0,1.0,717.0,36.0,36.0,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,9,No,0,Unknown,No,2-High,Town,Other,Yes
3122518,No,32.28,284.0,30.0,0.0,6.0,0.0,-18.0,-2.3,0.7,15.7,5.0,0.0,1.0,118.2,14.0,13.0,68.0,49.0,16.3,0.0,1.7,19,1,1,CHICHI773,1.0,1.0,571.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,2-High,Suburban,Other,Unknown
3110290,No,87.54,1808.0,93.0,1.98,5.0,0.0,56.0,-11.6,10.3,7.0,174.7,10.0,0.0,452.9,107.7,48.0,323.3,281.0,17.3,0.0,8.0,23,2,2,BOSBOS617,4.0,2.0,587.0,0.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,8,No,0,80,No,2-High,Other,Other,Unknown
3381654,No,125.22,1124.0,80.0,1.73,159.0,0.0,214.0,93.5,5.7,3.7,44.7,12.3,0.0,340.5,42.3,32.7,167.3,123.0,9.3,0.0,5.3,7,1,1,INDIND317,1.0,1.0,186.0,0.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,No,0,0,No,No,0,5,No,0,Unknown,No,5-Low,Other,Other,No
3062194,Yes,21.12,19.0,17.0,0.0,11.0,0.0,-10.0,-4.0,0.0,2.7,0.3,0.0,0.0,0.0,0.0,0.0,2.3,1.7,2.7,0.0,0.0,24,1,1,CHICHI312,1.0,1.0,729.0,50.0,0.0,No,No,Yes,No,No,Unknown,No,No,Yes,No,No,Yes,0,0,No,Yes,0,0,No,0,Unknown,No,1-Highest,Other,Other,No
3208398,Yes,36.82,99.0,40.0,0.0,0.0,0.0,2.0,0.0,2.3,1.0,3.0,0.0,0.0,37.5,2.3,17.0,25.3,4.0,3.3,0.0,0.0,12,2,2,SANSMC512,1.0,1.0,374.0,68.0,68.0,Yes,No,Yes,Yes,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,3,No,0,Unknown,No,3-Good,Rural,Clerical,No
3081442,No,52.97,308.0,50.0,2.97,0.0,0.0,-4.0,2.0,4.0,0.0,8.7,0.0,0.0,45.7,8.3,2.0,86.0,30.3,4.0,0.0,0.0,28,2,2,NEVLMS619,4.0,3.0,247.0,50.0,48.0,Yes,No,Yes,No,No,Known,No,Yes,No,No,No,Yes,0,0,No,No,0,8,No,0,200,No,2-High,Other,Professional,Yes
3122534,No,36.23,416.0,32.0,0.0,0.0,0.5,38.0,-0.5,0.3,21.3,10.7,0.7,0.7,126.2,36.7,28.7,118.7,68.7,22.0,0.0,0.0,21,2,2,HWIHON808,1.0,1.0,633.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,Unknown,No,2-High,Other,Other,Unknown
3386498,No,92.72,684.0,50.0,1.98,101.0,10.3,128.0,1.4,7.0,2.3,23.3,0.0,0.7,80.5,21.0,3.7,134.0,47.0,9.3,0.0,1.0,7,1,1,NCRCHA704,1.0,1.0,207.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,Unknown,No,2-High,Town,Other,Unknown
3183586,No,19.48,102.0,15.0,0.99,0.0,0.0,-102.0,-55.7,1.3,3.3,11.3,4.3,0.0,7.5,26.7,2.0,36.3,28.3,4.7,0.0,0.0,18,1,1,OHICIN513,1.0,1.0,537.0,44.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,6,No,0,Unknown,No,4-Medium,Other,Other,No
3221226,No,360.94,3571.0,118.0,15.35,607.0,0.0,1178.0,122.7,53.3,5.0,120.7,2.7,3.0,1079.4,223.0,65.0,579.0,767.0,58.3,0.0,39.7,11,1,1,LAXLAX323,2.0,2.0,136.0,0.0,0.0,No,Yes,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,10,No,2-High,Other,Other,Unknown
3192550,No,48.77,203.0,30.0,1.73,53.0,0.0,-12.0,-15.2,0.7,3.0,10.7,0.0,0.0,29.9,10.3,0.7,68.7,22.0,3.7,0.0,0.0,15,2,1,SANAUS512,1.0,1.0,469.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,3-Good,Other,Other,Unknown
3310134,Yes,19.99,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,2,OKCEMP316,1.0,1.0,388.0,24.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,2,No,0,Unknown,No,2-High,Other,Other,No
3012586,No,89.92,1389.0,95.0,4.46,0.0,0.5,137.0,-1.0,10.3,1.0,67.0,0.0,0.0,78.0,19.3,2.7,146.3,71.3,11.3,0.0,7.7,40,1,1,DETTOL419,1.0,1.0,1196.0,32.0,0.0,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,Yes,No,0,5,No,0,Unknown,No,1-Highest,Other,Professional,Yes
3338486,Yes,79.17,988.0,85.0,0.99,3.0,2.4,84.0,9.6,11.3,1.0,41.7,0.0,1.0,15.3,4.0,0.3,252.0,9.7,12.3,0.0,1.0,11,1,1,LAXLAG949,1.0,1.0,305.0,54.0,48.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,9,No,0,Unknown,No,2-High,Other,Other,Yes
3259394,Yes,75.84,729.0,37.0,6.43,177.0,0.0,1220.0,140.3,10.0,1.3,105.3,3.7,0.0,57.5,19.7,7.3,149.0,96.0,11.3,0.0,0.0,12,1,1,NYCETT732,3.0,3.0,220.0,56.0,52.0,No,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,2,1,No,No,0,7,No,0,130,Yes,5-Low,Suburban,Other,Yes
3385694,No,10.0,171.0,10.0,0.0,0.0,0.0,-39.0,0.0,0.7,0.3,4.3,0.0,0.0,39.7,7.0,4.3,42.7,19.0,1.0,0.0,1.3,8,2,2,SEABOI208,1.0,1.0,213.0,30.0,0.0,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,6,No,0,Unknown,No,3-Good,Other,Professional,No
3089734,No,20.81,14.0,17.0,0.0,2.0,0.0,-6.0,-0.8,0.0,0.3,4.3,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.3,0.0,0.0,25,1,1,SANSAN210,1.0,1.0,755.0,40.0,40.0,No,No,No,Yes,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,1,No,0,Unknown,No,6-VeryLow,Suburban,Professional,No
