CustomerID,EmailID,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnansweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus
3000258,shiledarnakul@gmail.com,54.96,244,52,2.97,0,0,15,2,0.7,2.7,11.7,0,0,48.8,13,1,54,14.3,3.7,0,0,54,1,1,KCYKCK913,4,4,37,54,80,No,No,Yes,No,No,Known,Yes,Yes,No,Yes,Yes,Yes,0,0,No,Yes,0,6,No,0,60,No,1-Highest,Other,Professional,No
3000274,shiledarnakul@gmail.com,50.48,380,60,0.5,0,0,93,-0.5,4,0.7,18.7,0,0,76.2,21.7,4.7,109.7,45.3,4.7,0,0.3,56,1,1,DENDEN303,1,1,1698,46,48,Yes,No,No,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,6,No,0,Unknown,No,1-Highest,Suburban,Professional,Yes
3000334,shiledarnakul@gmail.com,55.19,1088,70,0,13,0,109,15.6,5.3,1,19.7,3.7,0.7,335.1,11,6,55.3,74.3,6.3,0,0,54,2,2,OKCLRK501,7,4,233,58,52,No,No,Yes,No,No,Known,Yes,Yes,No,Yes,Yes,Yes,0,0,No,No,0,7,No,1,30,No,1-Highest,Town,Professional,Yes
3000338,shiledarnakul@gmail.com,93.02,1348,75,0,5,1.9,-165,24.6,7.3,7.3,69,0,0,436.5,59.3,23,454,32.3,14.7,0,10.3,56,1,1,SANAUS512,8,6,10,32,36,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,7,No,0,130,No,1-Highest,Town,Other,Yes
3000342,shiledarnakul@gmail.com,97.59,1804,75,1.49,85,0,-343,20.9,13,11,69.3,0,0,742.4,133,31.7,584,104.7,24,0,28.3,50,1,1,NSHNSH615,13,6,175,24,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,4,No,0,200,No,3-Good,Other,Other,Unknown
3000366,shiledarnakul@gmail.com,40.71,365,35,0.5,1,0,-31,-2.5,1,7,28.3,3.3,0,99.9,9.3,2,95.7,62.7,8,0,0.3,50,1,1,KCYWIC316,3,2,675,32,32,Yes,Yes,No,No,No,Known,Yes,Yes,No,Yes,No,Yes,0,0,No,No,0,5,No,2,10,No,3-Good,Town,Professional,Yes
3000370,shiledarnakul@gmail.com,72.81,1306,78,0,0,0,-462,-76.3,2,1,10.3,1.7,0,809.1,25.3,0,76.3,106,3,0,4.7,52,2,2,KCYKCM816,9,6,146,24,0,No,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,7,No,2,130,No,3-Good,Suburban,Professional,No
3000438,shiledarnakul@gmail.com,94.92,1656,75,1.49,26,0,-52,-7.3,11.3,9.7,129.3,9.3,0,197.9,42.7,0.3,517,66.3,21,0,5,52,1,1,DALSHR903,11,5,314,40,40,Yes,No,Yes,Yes,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,9,No,3,80,No,5-Low,Rural,Other,Yes
3000450,shiledarnakul@gmail.com,30.26,25,30,0,0,0,-25,-0.3,0,0,0.7,0,0,1.6,0,0,0.3,2,0,0,0,50,1,1,NSHNSH615,1,1,1515,46,46,No,No,No,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,6,No,1,Unknown,No,1-Highest,Suburban,Professional,No
3000470,shiledarnakul@gmail.com,125.47,1697,75,24.01,93,9.6,-167,-19.2,12.7,10.7,56.3,0,0,187.8,204.3,26.7,553.7,58.7,23.3,0,12.3,54,3,3,DALFTW817,11,6,133,28,0,No,No,Yes,Yes,No,Known,No,No,No,No,Yes,Yes,0,0,Yes,No,0,2,No,0,130,No,3-Good,Town,Other,Yes
3000482,shiledarnakul@gmail.com,33.85,225,30,0.25,0,0,74,-2.5,0,0,0,0,0,156.6,3,0,13.7,17.3,0,0,0,54,1,1,NYCMAN917,1,1,1619,52,0,No,No,No,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,3,No,0,Unknown,No,4-Medium,Other,Other,No
3000486,shiledarnakul@gmail.com,78.58,1356,75,1.49,5,0,-44,-2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,1,MINMIN612,15,6,168,50,46,Yes,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,9,No,7,150,No,1-Highest,Suburban,Other,Yes
3000498,shiledarnakul@gmail.com,21.55,14,20,0,4,0,-14,-1.6,1.3,0,0.3,0,0,2.9,0,0,4.7,0.3,1.3,0,0,52,1,1,PHXTUC520,5,3,586,0,0,No,Yes,Yes,No,No,Known,No,No,No,No,Yes,No,0,0,No,Yes,0,0,No,3,30,No,2-High,Rural,Other,No
3000542,shiledarnakul@gmail.com,18,14,15,0,12,0,-7,-1.5,0,0.3,2,0,0,5.8,0,0.7,2.3,4.7,0.3,0,0,56,1,1,DALDAL214,2,2,234,54,52,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,7,Yes,0,30,No,2-High,Other,Professional,Yes
3000546,shiledarnakul@gmail.com,58.82,250,30,3.71,72,0,49,11.5,0.7,2.3,21.7,0,0,22.2,7.7,10,80.7,31.7,3,0,0,49,1,1,OMAOMA402,4,4,296,34,32,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,8,Yes,0,30,No,1-Highest,Suburban,Professional,Yes
3000566,shiledarnakul@gmail.com,157.76,1328,79,3.96,343,0.6,-128,-2.8,23,0.7,25.7,0,0.3,280.1,66.3,3,334,97.7,23.7,0,0,49,3,3,NYCQUE917,3,2,616,0,0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,Yes,0,0,No,0,30,No,1-Highest,Other,Other,Unknown
3000594,shiledarnakul@gmail.com,79.28,426,75,4.21,0,0,-236,-3.3,3,3,33.3,0,0,130.5,26,4,160.7,14.3,6,0,1.3,55,1,1,SANSAN210,7,4,385,38,0,No,Yes,Yes,No,No,Unknown,No,No,No,No,No,Yes,0,0,No,Yes,0,6,Yes,3,30,No,1-Highest,Town,Other,No
3000606,shiledarnakul@gmail.com,40.68,271,45,0.25,15,0.2,137,16.7,9.3,3.3,15.7,0,0.3,40.7,6,0.7,52.7,15,12.7,0,0.3,53,1,1,SANAUS512,5,4,57,42,38,Yes,Yes,Yes,Yes,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,7,No,0,80,No,1-Highest,Town,Other,Yes
3000610,shiledarnakul@gmail.com,79.18,725,75,4.21,0,0,15,-1.9,16.7,1.3,15.3,1,1,95.3,67.3,10.7,216.7,24.7,18,0,4,49,3,3,PHXTUC520,7,5,626,0,0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,Yes,0,0,No,0,10,No,1-Highest,Other,Other,Unknown
3000630,shiledarnakul@gmail.com,56.02,557,50,0,60,0,49,-0.8,10.3,1.7,21,0,0,129.4,36,23,109.7,31.3,12,0,0.7,51,2,2,SANMCA210,3,3,740,58,58,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,Yes,No,Yes,0,0,Yes,No,0,9,No,0,30,No,1-Highest,Town,Retired,Yes
3000662,shiledarnakul@gmail.com,30.24,268,40,0.25,0,0,62,-0.2,1.3,0.3,6,8.3,0,76,7.3,0.7,51.7,26.7,1.7,0,0,53,1,1,DALDAL214,6,4,485,50,54,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,3,No,0,30,No,3-Good,Suburban,Clerical,No
3000666,shiledarnakul@gmail.com,41.79,147,44,0,8,0,-82,1.4,0.3,0.3,4.3,0.3,0,49.8,5,0.3,16.3,24,0.7,0,0,51,1,1,DALFTW817,3,3,185,54,52,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,6,No,0,100,No,1-Highest,Other,Other,Yes
3000686,shiledarnakul@gmail.com,61.5,796,50,0,110,0,-47,-2.9,2.3,3.7,45.3,0,0,282.3,72.7,18.7,385.3,74.7,6,0,2.7,49,2,2,SANSAN210,4,3,769,48,52,Yes,No,Yes,Yes,Yes,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,7,No,0,30,No,1-Highest,Town,Other,Yes
3000698,shiledarnakul@gmail.com,17.35,1,17,0.25,0,0,-1,-0.4,0,0,0,0,0,0,0,0,0.3,0,0,0,0,49,1,1,DENDEN303,1,1,1497,64,66,No,No,No,Yes,Yes,Known,Yes,Yes,No,No,Yes,Yes,0,0,Yes,No,0,6,No,0,Unknown,No,6-VeryLow,Suburban,Professional,Yes
3000702,shiledarnakul@gmail.com,109.47,2298,85,4.95,232,0,-130,-15.1,16.7,9.7,56.7,0.3,0,581.6,28.7,17.7,391,120.7,26.3,0,18.7,53,2,1,SANGEO512,6,5,153,38,42,No,No,Yes,Yes,Yes,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,6,No,1,30,No,3-Good,Rural,Other,Yes
3000746,shiledarnakul@gmail.com,29.89,98,36,0,3,0,36,0.1,0.7,1,6.7,0,0,54.3,3.3,6.7,21.7,15.3,1.7,0,0,51,1,1,STLSTL314,3,2,94,60,58,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,7,No,0,30,No,1-Highest,Suburban,Clerical,Yes
3000754,shiledarnakul@gmail.com,111.94,2060,85,0.25,50,0,-754,-18.3,13.7,5.3,27.3,7.3,0,451.5,220,93,586.3,271.7,19,0,13.3,55,3,2,DALDAL214,7,4,409,36,34,Yes,No,Yes,Yes,No,Unknown,No,No,No,No,No,Yes,0,0,Yes,No,1,1,No,0,40,No,2-High,Rural,Other,No
3000758,shiledarnakul@gmail.com,105.7,636,53,0,54,1,-397,-35.8,1,22.3,70.3,0.3,0,286.6,36,13.7,166,51.3,23.3,0,0.3,55,2,2,SANSAN210,4,3,253,38,38,Yes,No,Yes,Yes,Yes,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,1,No,0,150,No,1-Highest,Town,Other,Yes
3000798,shiledarnakul@gmail.com,166.43,2746,83,2.48,186,0,-370,-28.4,4.3,33,186.7,0.7,0,475.6,378,121.7,1143.7,407,37.3,0,32,51,2,2,SANMCA210,5,5,252,70,0,No,No,Yes,Yes,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,6,No,2,150,No,3-Good,Other,Other,No
3000846,shiledarnakul@gmail.com,90.74,1156,90,6.43,5,0,-4,3.1,15,1.3,39.3,4,0,411.4,58.3,1.7,183.7,101.3,17,0,1.7,51,2,1,PHXPHX602,7,6,506,34,30,Yes,No,Yes,Yes,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,4,No,2,60,No,3-Good,Suburban,Other,No
3000862,shiledarnakul@gmail.com,101.49,1728,75,2.97,49,2.2,320,-1.1,21,27.7,60.7,0,0,529.7,67,49.7,616.7,46.3,48.7,0.7,26,53,2,2,NSHNSH615,5,3,78,46,46,Yes,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,Yes,Yes,0,0,Yes,No,0,9,No,0,100,No,1-Highest,Town,Professional,Unknown
3000866,shiledarnakul@gmail.com,33.52,26,30,0,0,0,5,-0.3,0,0,0,0,0,11.8,0.7,0,16.7,0,0,0,0,49,1,1,OKCLRK501,5,2,670,,,No,Yes,No,No,No,Unknown,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,30,No,6-VeryLow,Suburban,Other,Unknown
3000890,shiledarnakul@gmail.com,101.65,174,75,0,0,0,-78,23.9,0,0.3,1,0,0,14.8,10,0,8,6,0.3,0,0,51,1,1,DALDAL214,4,2,634,0,0,No,Yes,No,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,1,10,No,1-Highest,Suburban,Other,Unknown
3000934,shiledarnakul@gmail.com,52.06,352,53,0.5,16,0.1,483,27.8,3.3,0.3,5,2,0,26.1,11.7,1,18.7,22,3.7,0,0,53,1,1,SEAPOR503,4,3,278,30,24,No,Yes,Yes,No,No,Known,No,No,No,Yes,No,Yes,0,0,No,Yes,0,1,No,0,150,No,3-Good,Other,Other,No
3000938,shiledarnakul@gmail.com,42.49,369,42,0,0,0,-6,0,2.3,1,18,0,0,80.7,19.7,8.7,135.3,38.3,3.3,0,1.3,53,3,3,INDIND317,5,5,477,48,48,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,9,No,0,130,No,1-Highest,Suburban,Other,Yes
3000970,shiledarnakul@gmail.com,114.46,2035,75,1.24,324,0,511,33.9,40,2,88.7,1.3,5,827.5,82.3,24,440.3,269,42,0,23.7,53,1,1,PHXPHX602,10,5,80,0,0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,Yes,0,0,No,0,80,No,4-Medium,Suburban,Other,Unknown
3000994,shiledarnakul@gmail.com,103.5,586,79,1.24,64,0,-334,-25.5,3.7,5,35.7,0,0,191.9,12.7,2.7,154,82,8.7,0,3,49,1,1,DALFTW817,2,2,128,36,0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,Yes,0,6,No,0,30,No,5-Low,Other,Other,No
3001010,shiledarnakul@gmail.com,29.99,18,30,0,0,0,-4,0,0,0,1,0,0,0.7,0,0,12.7,0.3,0,0,0,51,1,1,LOULOU502,1,1,1538,66,62,No,No,No,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,6,No,0,Unknown,No,1-Highest,Town,Retired,Yes
3001034,shiledarnakul@gmail.com,37.06,372,40,0.74,22,0.2,74,14.2,6.7,6.7,31.3,6.3,0,71,52.3,11,90.7,97.7,13.3,0,1.7,51,3,1,SANAUS512,4,4,519,42,42,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,30,No,1-Highest,Town,Other,Yes
3001042,shiledarnakul@gmail.com,88.71,2215,85,0,36,4.7,374,-12.5,8.3,4,25,0,0,1283.1,82.7,72.3,171.7,141.7,12.3,0,8.3,53,1,1,OKCOKC405,3,3,693,56,30,No,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,6,No,0,30,No,3-Good,Other,Professional,Unknown
3001066,shiledarnakul@gmail.com,92.11,80,95,0,0,0,-62,-5.3,0,0,2.7,0,0,0,1.7,0,4.7,0.3,0,0,0,50,3,2,MINMIN612,4,4,358,60,54,No,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,5,No,0,80,No,3-Good,Rural,Other,Unknown
3001118,shiledarnakul@gmail.com,30.27,326,30,0,0,0,-154,-0.3,4.3,0.7,9.7,0,0,152.5,21.7,23.7,79,91.3,5,0,0,48,1,1,DALDAL214,3,2,566,42,38,No,No,Yes,Yes,No,Known,No,No,No,Yes,Yes,Yes,0,0,Yes,No,0,4,No,0,30,No,1-Highest,Suburban,Other,Yes
3001126,shiledarnakul@gmail.com,59.26,1175,52,0,45,0,-1173,-29.3,5.7,2.7,152.3,1.7,0,498.7,94.3,11,488,198,8.3,0,14.7,54,1,1,OKCOKC405,5,5,224,32,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,9,No,0,30,No,3-Good,Other,Other,No
3001138,shiledarnakul@gmail.com,81.73,678,75,0.5,0,0,180,-0.5,25.7,3.7,17.3,0,0,20.3,7,0.7,53,5.7,29.3,0,1,50,1,1,PHXTUC520,7,5,62,0,0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,100,No,1-Highest,Suburban,Other,Unknown
3001142,shiledarnakul@gmail.com,32.78,44,32,0,0,0,-33,-0.3,0,0.3,1,0,0,7.3,2.7,1.3,14.7,4,0.3,0,0,48,2,2,DALDAL214,4,2,953,40,40,No,No,No,Yes,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,8,No,0,30,No,1-Highest,Suburban,Other,Unknown
3001158,shiledarnakul@gmail.com,30.73,41,30,0.74,0,0,-22,0.2,1.7,0.3,2,0,0,0.1,0.3,0,8,1.7,2,0,0,50,1,1,DENDEN303,2,2,647,54,52,Yes,Yes,No,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,9,No,0,30,No,1-Highest,Other,Professional,Yes
3001162,shiledarnakul@gmail.com,56.24,229,50,0,0,0,-93,0,0.3,0,5,0,0,50.5,6,0,44.3,11.3,0.3,0,0,54,1,1,DALFTW817,2,2,1144,42,26,Yes,Yes,No,Yes,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,5,No,0,30,No,1-Highest,Other,Other,Unknown
3001222,shiledarnakul@gmail.com,50.28,197,50,0.25,0,0,64,-0.1,2,3.7,10.7,0,0,24.6,7.7,1.7,72.3,11.7,5.7,0,0.3,50,2,2,NSHNSH615,5,4,308,56,54,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,3,No,0,30,No,1-Highest,Rural,Other,No
3001278,shiledarnakul@gmail.com,19,7,19,0,0,0,-1,0,0.3,0.3,1,0,0,0,0,0,2.7,0,0.7,0,0,52,1,1,MIAMIA305,2,2,1206,60,0,No,No,No,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,6,No,0,10,No,1-Highest,Other,Other,Yes
3001290,shiledarnakul@gmail.com,129.92,1379,75,2.23,0,2.2,71,31.8,78.3,17,27.7,0,0.3,216.9,40.7,20,329.7,38.7,95.3,0,4.7,48,1,1,DALDAL214,5,5,35,0,0,No,Yes,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,Yes,No,0,0,No,0,30,No,4-Medium,Town,Other,Unknown
3001334,shiledarnakul@gmail.com,202.48,1542,60,0.5,505,0,-134,-9.6,7.7,9.3,54,0,0,598.7,51.3,54.7,355.7,153,17,0,5,48,4,4,NOLKEN504,6,4,11,36,0,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,4,No,0,30,No,1-Highest,Other,Other,No
3001362,shiledarnakul@gmail.com,112.67,2011,105,1.49,40,0,4,-16.7,11,2.7,41.3,1.3,0,585.8,223.7,27.7,405,154.7,13.7,0,21.3,54,1,1,STLSTL314,8,5,194,36,0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,5,No,1,30,No,1-Highest,Other,Other,No
3001390,shiledarnakul@gmail.com,33.63,68,30,0,1,0,5,1.2,1.7,1,10.3,0.3,0.3,0.6,3.7,0,27,14.7,3,0,0.3,50,1,1,MILMIL414,3,3,74,30,34,No,No,Yes,No,No,Known,Yes,Yes,No,Yes,No,Yes,0,0,Yes,No,0,6,No,0,10,No,1-Highest,Suburban,Other,Yes
3001430,shiledarnakul@gmail.com,102.62,1417,75,18.07,14,0,-20,-4.9,51.3,39.3,113.7,0,0,109.2,94,7,538.3,130.7,90.7,0,13,52,1,1,MIADFD954,3,3,429,34,40,No,Yes,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,Yes,No,0,9,No,1,80,No,1-Highest,Town,Other,No
3001466,shiledarnakul@gmail.com,40,184,40,0,0,0,17,0,0,0.3,6.3,0.3,0,76.7,12.3,0.7,39,22.3,0.3,0,0,50,1,1,DALDAL214,2,2,510,40,0,No,No,Yes,Yes,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,7,No,0,30,No,1-Highest,Town,Professional,No
3001478,shiledarnakul@gmail.com,80.65,966,75,0.5,0,2.6,-29,8.8,17,7.3,45.7,0,0,231.5,54.3,13,255,89.7,24.3,0,4.7,50,2,2,INDIND317,5,5,145,42,42,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,8,No,0,130,No,1-Highest,Town,Other,Yes
3001494,shiledarnakul@gmail.com,117.1,1077,67,1.73,152,0.2,-424,-51.9,26.7,3.7,104.3,5.3,1,464.8,80.3,45.7,226.7,240,31.3,0,0.3,50,1,1,PHXPHX602,4,3,103,32,26,No,No,Yes,Yes,Yes,Known,No,No,No,No,Yes,No,0,0,No,Yes,0,7,No,0,150,No,2-High,Suburban,Other,Unknown
3001514,shiledarnakul@gmail.com,213.35,1471,118,5.2,228,0.5,79,-53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,1,PHXPHX602,3,3,104,52,0,No,Yes,Yes,No,No,Known,No,No,No,No,No,No,0,0,No,Yes,0,6,No,0,30,No,4-Medium,Other,Other,No
3001526,shiledarnakul@gmail.com,110.89,1314,75,1.24,0,1.4,77,-31.1,4.3,11.7,42,0,0.3,448.9,29.7,1.3,345.7,18.3,16,0,7.7,50,1,1,SANSAN210,3,3,174,42,40,Yes,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,Yes,0,8,No,0,60,No,1-Highest,Town,Professional,Yes
3001538,shiledarnakul@gmail.com,111.1,1936,75,0.25,51,0,-19,-8.5,6,11,72.7,1,1.3,524.8,35.3,13.7,385,195.3,17,0,8.3,50,1,1,DALDAL214,6,4,290,38,22,No,No,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,7,No,0,200,No,4-Medium,Town,Other,Unknown
3001558,shiledarnakul@gmail.com,57.39,392,42,4.46,42,1.5,-17,-13.2,0.3,6,26.7,2.7,0.3,88.1,7.3,2.3,106.7,50,6.3,0,2,50,1,1,SANSAN210,5,4,619,,,No,Yes,No,No,No,Unknown,No,No,No,No,No,No,0,0,No,Yes,0,0,No,0,30,No,4-Medium,Town,Other,Unknown
3001582,shiledarnakul@gmail.com,76.21,863,50,1.49,204,0,78,7.2,7,1.3,26.3,0,0,240.6,37.7,38,281.7,77.3,8.3,0,3.7,50,3,3,PHIMER609,1,1,1511,40,36,Yes,No,No,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,Yes,No,0,5,No,0,Unknown,No,3-Good,Suburban,Professional,Yes
3001614,shiledarnakul@gmail.com,60.34,392,30,0,74,0,-91,-7.8,2.3,0,24.7,0,0,52.8,33,0,76.3,38.3,2.3,0,0.3,48,1,1,SEASEA206,3,2,1179,56,0,No,Yes,No,No,No,Unknown,No,No,No,No,No,No,0,0,Yes,No,0,6,No,0,30,No,1-Highest,Rural,Other,No
